1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
2: male. Anglicized form of Hebrew Yowb, meaning "persecuted." In the bible, this is the name of the third son of Issachar. He is also called Jashub.
2: male. Anglicized form of Irish Gaelic Aonghus, meaning "excellent valor."
2: male. Anglicized form of Irish Gaelic Cainnech, meaning "comely; finely made."
2: male. Anglicized form of Irish Gaelic Dara "oak," Dubhdara "black oak," and Dubhaltach "black-haired."
2: male. Anglicized form of Irish Gaelic Eóghan, meaning "born of yew."
2: male. Anglicized form of Irish Gaelic Fearghus, meaning "strong-man."
2: male. Anglicized form of Irish Gaelic Féidhlim, possibly meaning "hospitable."
2: male. Anglicized form of Irish Gaelic Flaithrí, meaning "prince-king."
2: male. Anglicized form of Irish Gaelic Gríobhtha, meaning "griffin."
2: male. Anglicized form of Irish Gaelic Maoileachlainn "devotee of Seachlainn," altered to coincide with Hebrew Malakiy ("my messenger").
2: male. Anglicized form of Irish Gaelic Muiriartach, meaning "mariner, seaman."
2: male. Anglicized form of Irish Gaelic Ó Duinn "descendant of Donn," hence "brown."
2: male. Anglicized form of Irish Gaelic Ruairí, meaning "red king."
2: male. Anglicized form of Irish Gaelic Toirdhealbhach, meaning "instigator."
2: male. Anglicized form of Irish Gaelic Toirdhealbhach, meaning "instigator."
2: male. Anglicized form of Irish Gaelic Toirdhealbhach, meaning "instigator."
2: male. Anglicized form of Irish Gaelic Uilleag, meaning "will-helmet."
2: male. Anglicized form of Latin Thaddaeus, possibly meaning "courageous, large-hearted."
2: male. Anglicized form of Old Welsh Rhydderch, meaning "reddish-brown."
2: male. Anglicized form of Scottish Gaelic Cailean, meaning "whelp; young pup."
2: male. Anglicized form of Scottish Gaelic Cináed, meaning "born of fire." This was probably the first Anglicization.
2: male. Anglicized form of Scottish Gaelic Domhnall, meaning "world ruler."
2: male. Anglicized form of Scottish Gaelic Gilleasbaig, meaning "bishop's servant."
2: male. Anglicized form of Scottish Gaelic P� draig, meaning "patrician, of noble descent."
2: male. Anglicized form of Scottish Gaelic Ruaraidh, meaning "red king."
2: male. Anglicized form of Scottish Gaelic Seaghdh, meaning "hawk-like."
2: male. Anglicized form of Scottish Gaelic Sg� ire, meaning "sea-mew," another name for the common seagull.
2: male. Anglicized form of Welsh Elisud, meaning "kind."
2: male. Anglicized form of Welsh Iefan, meaning "God is gracious."
2: male. Anglicized form of Welsh March, meaning "horse." In Arthurian legend, this is the name of a king of Cornwall.
2: male. Anglicized form of Welsh Seissylt, meaning "sixth."
2: male. Diminutive form of English Nicholas, meaning "victor of the people."
2: male. English and French form of Greek Simōn, meaning "hearkening." In the New Testament bible, this is the name of many characters, including a sorcerer and a brother of Jesus. It is often confused with Simon (2).
2: male. English and French form of Latin Florentius, meaning "blossoming."
2: male. English form of French Eugène, meaning "well born."
2: male. English form of French Frédéric, meaning "peaceful ruler."
2: male. English form of French Marc, from Latin Marcus, meaning "defense" or "of the sea." In the New Testament bible, this is the name of the author of the second Gospel.
2: male. English form of French Nicolas, meaning "victor of the people."
2: male. English form of Italian Ferdinando, meaning "ardent for peace."
2: male. English form of Latin Petrus, meaning "rock, stone." In the bible, this is the name of one of Christ's apostles. The name was given by Jesus to Simon son of Jona, to distinguish him from Simon Zelotes.
2: male. English form of Latin Terentius, possibly meaning "rub, turn, twist."
2: male. English form of Norman French Thierri, meaning "first of the people; king of nations."
2: male. English form of Old French Archimbaud, meaning "genuine courage."
2: male. English form of Old High German Hrodric, meaning "famous power."
2: male. English habitational surname transferred to forename use, from the name of a place in Cheshire named after the river Weaver which got its name form Old English wefer, meaning "winding."
2: male. English habitational surname transferred to forename use, meaning "Dudda's meadow."
2: male. English name derived from a Norman French byname for someone given to stirring up trouble, from the word hareler, meaning "to create a disturbance," hence "trouble-maker."
2: male. English name derived from Latin Cæcilius, meaning "blind.
2: male. English name derived from Middle English griffin, meaning "griffin."
2: male. English name derived from the Scandinavian habitational surname Walkyr, from kiarr, meaning "from the wall by the marsh."
2: male. English name derived from the vocabulary word duke, from Latin dux, meaning "commander, leader."
2: male. English name of a legendary king of the Britons who was preceded by Urianus and succeeded by Cledaucus.
2: male. English occupational surname transferred to forename use, derived from Middle English walkere from Old English wealcere ("to walk, tread"), hence "cloth fuller."
2: male. English occupational surname transferred to forename use, from Middle English weven, meaning "to weave," hence "weaver."
2: male. English surname transferred to forename use, derived from Old English heall "hall," hence "lives at the hall."
2: male. English surname transferred to forename use, derived from the Old English personal name Wine, meaning "friend."
2: male. English surname transferred to forename use, from the Norman baronial name Mortemer, composed of the Old French elements morte "dead" and mer "sea," hence "dead sea," which may have referred to either the biblical Dead Sea or a stagnant marsh.
2: male. English surname transferred to forename use, meaning "copse, wood."
2: male. English surname transferred to forename use, meaning "from Kent."
2: male. English surname transferred to forename use, originally a byname for someone with dark hair or a swarthy complexion, from the Middle English element dunn, meaning "dark-colored."
2: male. English topographical surname transferred to forename use, meaning "lives near the river crossing."
2: male. English variant spelling of Celtic Alan, possibly meaning "little rock."
2: male. From a habitational name derived either from Old English brant "steep" or an old British Celtic word meaning "high place."
2: male. From an Old English byname for a criminal who had been "branded." For example, the surname Brendcheke "burned cheek" came from such a byname.
2: male. From a topographic name for someone who "lives by the ground cleared by fire," from Middle English brend, from brennan "to burn."
2: male. Greek byname derived from the word simós, meaning "flat- or snub-nosed." In use by the Russians.
2: male. Greek form of Hebrew Abram, meaning "father of elevation."
2: male. Greek form of Hebrew Adam, meaning "the red earth."
2: male. Hebrew name meaning "earth" or "red." In the bible, this is the name of the first man created by God, the husband of Eve.
2: male. Hebrew name meaning "father of elevation." In the bible, this is Abraham's name before God changed it. Also spelled Avram.
2: male. Irish Anglicized form of Gaelic Feardorcha, meaning "dark man."
2: male. Irish Anglicized form of Gaelic Tadhg, meaning "poet."
2: male. Irish Anglicized form of Gaelic Tadhg, meaning "poet."
2: male. Medieval English form of Greek Elias, meaning "the Lord is my God."
2: male. Middle English form of Anglo-Saxon Wada (the name of a sea giant), meaning "to go," in the sense of going forward, proceeding.
2: male. Middle English name meaning "to cover, conceal."
2: male. Middle English variant form of English Jack "God is gracious."
2: male. Pet form of English Archibald, meaning "genuine courage."
2: male. Pet form of English Dougal, meaning "black stranger."
2: male. Pet form of English Douglas, meaning "black stream."
2: male. Pet form of English Terence, possibly meaning "rub, turn, twist."
2: male. Pet form of English Thaddeus, meaning "courageous, large-hearted."
2: male. Pet form of English unisex Jocelyn, meaning "Gaut."
2: male. Pet form of Scottish-English Archibald, meaning "bishop's servant."
2: male. Possibly a Middle English form of Old High German Willerich, meaning "will-power."
2: male. Scottish Anglicized form of Irish Gaelic Ruadh, meaning "red."
2: male. Scottish Anglicized form of Irish Gaelic Ruaidhrí, meaning "red king."
2: male. Short form of English Jacob, meaning "supplanter."
2: male. Short form of English Kenton, meaning "Cena's settlement." Also used as a short form of other names beginning with Kent-.
2: male. Short form of English Marmaduke, meaning "devotee of Maedóc."
2: male. Short form of English Royal "king" or Royle "rye hill."
2: male. Variant spelling of English Adin, meaning "dainty, delicate."
2: male. Variant spelling of English Euan, meaning "born of yew."
2: male. Variant spelling of English Harlan, meaning "hare's land."
2: male. Variant spelling of English Malachi, meaning "my messenger."
2: male. Variant spelling of English Marlon, probably meaning "little one of the sea."
2: male. Variant spelling of English Merlin, meaning "sea fort."
2: male. Variant spelling of English Perry, meaning "wanderer."
